2015,2016,2017,2018
NATL,SAFT,RGA,PRU
NAVG,SAMG,RILY,PTVCB
NAVI,SASR,RJF,PUB
NBBC,SBCF,RLI,PVBC
NBHC,SBNY,RM,PWOD
NBTB,SBSI,RNR,PZN
NCOM,SC,RNST,QCRH
NDAQ,SCHW,RSO,RBB
NEWS,SCNB,RVSB,RBCAA
NFBK,SEIC,RWT,RBNC
NGHC,SF,SAFT,RC
NHI,SFBS,SAMG,RDN
NKSH,SFE,SASR,RE
NLY,SFNC,SBCF,RF
NMIH,SFST,SBCP,RGA
NNI,SGBK,SBNY,RILY
NNN,SHBI,SBSI,RJF
NPBC,SIFI,SC,RLI
NRE,SIGI,SCHW,RM
NRF,SIVB,SEIC,RNR
NRZ,SLM,SF,RNST
NSA,SMBC,SFBS,RVSB
NSAM,SMMF,SFE,RWT
NSM,SNBC,SFNC,SAFT
NTRS,SNC,SFST,SAMG
NWBI,SNV,SHBI,SASR
NWLI,SONA,SIFI,SBBX
NXRT,SPGI,SIGI,SBCF
NYCB,SRCE,SIVB,SBNY
NYMT,SSB,SLD,SBSI
NYRT,STBA,SLM,SBT
O,STBZ,SMBC,SC
OB,STC,SMBK,SCHW
OCFC,STFC,SMMF,SEIC
OCN,STI,SNBC,SF
OFC,STL,SNV,SFBS
OFG,STT,SONA,SFE
OHI,STWD,SPGI,SFNC
OKSB,SYBT,SRCE,SFST
OLP,SYF,SSB,SHBI
OMAM,TBBK,STBA,SIEB
OMF,TBK,STBZ,SIFI
ONB,TBNK,STC,SIGI
ONDK,TCB,STFC,SIVB
OPB,TCBI,STI,SLCT
OPY,TCBK,STL,SLM
ORC,TFSL,STT,SMBC
ORI,THFF,STWD,SMBK
ORIT,THG,SYBT,SMMF
OSBC,TIPT,SYF,SNV
OUT,TMK,TBBK,SONA
OZRK,TMP,TBK,SPGI
PACW,TOWN,TBNK,SRCE
PB,TPRE,TCBI,SSB
PBCT,TREE,TCBK,STBA
PCBK,TRI,TCF,STBZ
PCH,TRMK,TCFC,STC
PCL,TROW,TFSL,STFC
PDM,TRST,THFF,STI
PEB,TRUP,THG,STL
PEBO,TRV,TIPT,STT
PEI,TSC,TMK,STWD
PFBC,TWO,TMP,STXB
PFG,UBNK,TOWN,SYBT
PFIS,UBSH,TPRE,SYF
PFS,UBSI,TRCB,TBBK
PFSI,UCBI,TREE,TBK
PGC,UCFC,TRMK,TBNK
PGR,UFCS,TROW,TCBI
PGRE,UIHC,TRST,TCBK
PHH,UMBF,TRTX,TCF
PICO,UMPQ,TRUP,TCFC
PJC,UNB,TRV,TFSL
PKY,UNM,TSBK,THFF
PLD,USB,TSC,THG
PMT,UVE,TWO,TIPT
PN,UVSP,UBFO,TMK
PNC,VALU,UBNK,TMP
PNFP,VBTX,UBSH,TOWN
PPBI,VIRT,UBSI,TPRE
PPS,VLY,UCBI,TREE
PRA,VOYA,UCFC,TRMK
PRAA,VR,UFCS,TROW
PRE,VRTS,UIHC,TRST
PRI,WABC,UMBF,TRTX
PRK,WAC,UMPQ,TRUP
PRU,WAFD,UNB,TRV
PSA,WAL,UNM,TSBK
PSB,WASH,UNTY,TSC
PSTB,WBS,USB,TWO
PUB,WD,UVE,UBFO
PVTB,WDR,UVSP,UBNK
PWOD,WETF,VALU,UBSH
PZN,WFBI,VBTX,UBSI
QCRH,WFC,VIRT,UCBI
QTS,WHG,VLY,UCFC
RAS,WINS,VOYA,UFCS
