2015,2016,2017,2018
SSNC,TXN,ULTI,
SSNI,TYL,UPLD,
SSTK,TYPE,USAT,
SSYS,UBNT,V,
STMP,UCTT,VDSI,
SUNE,UIS,VECO,
SWI,ULTI,VERI,
SWKS,USAT,VHC,
SYKE,UTEK,VIAV,
SYMC,V,VMW,
SYNA,VDSI,VNTV,
SYNT,VECO,VPG,
TDC,VHC,VRNS,
TECD,VIAV,VRNT,
TER,VMW,VRSN,
TIVO,VNTV,VRTU,
TNAV,VPG,VSAT,
TNGO,VRNS,VSH,
TRMB,VRNT,VSM,
TRUE,VRSN,WDAY,
TSRA,VRTU,WDC,
TSS,VSAT,WEB,
TSYS,VSH,WEX,
TTEC,VSM,WK,
TTGT,WBMD,WU,
TTMI,WDAY,XCRA,
TTWO,WDC,XLNX,
TUBE,WEB,XOXO,
TVPT,WEX,XPER,
TWTR,WK,XRX,
TXN,WU,YELP,
TXTR,XCRA,YEXT,
TYL,XLNX,Z,
TYPE,XOXO,ZBRA,
TZOO,XRX,ZEN,
UBNT,XTLY,ZG,
UCTT,XXIA,ZIXI,
UIS,YELP,ZNGA,
ULTI,YHOO,,
UNTD,Z,,
UTEK,ZBRA,,
V,ZEN,,
VDSI,ZG,,
VECO,ZIXI,,
VHC,ZNGA,,
VIAV,,,
VMEM,,,
VMW,,,
VNTV,,,
VPG,,,
VRNS,,,
VRNT,,,
VRSN,,,
VRTU,,,
VSAT,,,
VSH,,,
WBMD,,,
WDAY,,,
WDC,,,
WEB,,,
WEX,,,
WIX,,,
WK,,,
WU,,,
XCRA,,,
XLNX,,,
XOXO,,,
XRX,,,
XTLY,,,
XXIA,,,
YELP,,,
YHOO,,,
Z,,,
ZBRA,,,
ZEN,,,
ZG,,,
ZIXI,,,
ZNGA,,,
