Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Year
GIII,G III APPAREL GROUP LTD,Equity,0,24.91,3744,93263.04,-,Consumer Discretionary,2369721,US36237H1014,NASDAQ,2011
BPI,BRIDGEPOINT EDUCATION INC,Equity,0,23,4066,93518,-,Consumer Discretionary,B3VVNF8,US10807M1053,New York Stock Exchange Inc.,2011
SONC,SONIC CORP,Equity,0,6.73,14037,94469.01,-,Consumer Discretionary,2821113,US8354511052,NASDAQ,2011
BKS,BARNES AND NOBLE INC,Equity,0,14.48,6607,95669.36,-,Consumer Discretionary,2081144,US0677741094,New York Stock Exchange Inc.,2011
KNOL,KNOLOGY INC.,Equity,0,14.2,6828,96957.6,-,Consumer Discretionary,2041557,US4991838040,NASDAQ,2011
MFB,MAIDENFORM BRANDS INC.,Equity,0,18.3,5314,97246.2,-,Consumer Discretionary,B0DPJT3,US5603051047,New York Stock Exchange Inc.,2011
SSI,STAGE STORES INC,Equity,0,13.89,7076,98285.64,-,Consumer Discretionary,2812258,US85254C3051,New York Stock Exchange Inc.,2011
BH,BIGLARI HOLDINGS INC,Equity,0,368.24,273,100529.52,-,Consumer Discretionary,2843430,US08986R1014,New York Stock Exchange Inc.,2011
RT,RUBY TUESDAY INC,Equity,0,6.9,14789,102044.1,-,Consumer Discretionary,2757616,US7811821005,New York Stock Exchange Inc.,2011
VAC,MARRIOTT VACATIONS WORLDWIDE CORP,Equity,0,17.16,5977,102565.32,-,Consumer Discretionary,B45K9N8,US57164Y1073,New York Stock Exchange Inc.,2011
STEI,STEWART ENTERPRISES INC. CL A,Equity,0,5.76,17908,103150.08,-,Consumer Discretionary,2846677,US8603701058,NASDAQ,2011
SKX,SKECHERS USA INC CLASS A,Equity,0,12.12,8512,103165.44,-,Consumer Discretionary,2428042,US8305661055,New York Stock Exchange Inc.,2011
